y, walker
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,16
67,16
68,18
69,12
70,20
71,32
72,36
73,30
74,32
75,14
76,18
77,24
78,22
79,18
80,26
81,52
82,56
83,82
84,82
85,82
86,86
87,98
88,98
89,96
90,102
91,90
92,74
93,94
94,96
95,96
96,110
97,98
98,138
99,158
100,150
101,166
102,186
103,180
104,184
105,180
106,162
107,172
108,178
109,164
110,168
111,170
112,144
113,148
114,118
115,140
116,150
117,156
118,104
119,110
120,104
121,106
122,84
123,78
124,40
125,46
126,26
127,30
128,48
129,64
130,58
131,70
132,60
133,72
134,46
135,58
136,64
137,34
138,64
139,66
140,88
141,126
142,216
143,192
144,210
145,154
146,130
147,134
148,168
149,152
150,126
151,134
152,148
153,150
154,148
155,128
156,156
157,116
158,112
159,100
160,92
161,120
162,168
163,190
164,220
165,200
166,214
167,206
168,236
169,220
170,226
171,202
172,236
173,240
174,212
175,236
176,204
177,198
178,246
179,222
180,246
181,240
182,246
183,244
184,218
185,142
186,102
187,102
188,56
189,74
190,80
191,68
192,72
193,88
194,74
195,76
196,90
197,88
198,94
199,62
200,60
201,48
202,30
203,54
204,48
205,50
206,62
207,76
208,78
209,64
210,48
211,56
212,42
213,44
214,34
215,44
216,42
217,48
218,36
219,68
220,110
221,92
222,122
223,112
224,104
225,94
226,110
227,100
228,86
229,104
230,102
231,100
232,128
233,132
234,136
235,138
236,158
237,182
238,194
239,226
240,190
241,190
242,202
243,234
244,236
245,220
246,210
247,208
248,194
249,210
250,220
251,230
252,288
253,336
254,290
255,316
256,298
257,324
258,330
259,344
260,390
261,466
262,508
263,522
264,536
265,528
266,646
267,706
268,678
269,512
270,496
271,476
272,468
273,484
274,440
275,392
276,352
277,324
278,242
279,280
280,290
281,300
282,312
283,286
284,308
285,292
286,338
287,396
288,414
289,438
290,360
291,434
292,398
293,372
294,394
295,418
296,432
297,438
298,372
299,380
300,306
301,350
302,340
303,290
304,364
305,380
306,402
307,368
308,372
309,354
310,354
311,272
312,272
313,280
314,236
315,214
316,224
317,242
318,252
319,310
320,294
321,264
322,300
323,354
324,424
325,388
326,380
327,394
328,312
329,280
330,302
331,312
332,346
333,362
334,370
335,354
336,386
337,326
338,388
339,430
340,370
341,378
342,332
343,408
344,432
345,402
346,374
347,434
348,448
349,454
350,394
351,380
352,408
353,368
354,358
355,330
356,292
357,258
358,234
359,192
360,198
361,218
362,234
363,242
364,202
365,210
366,228
367,216
368,226
369,246
370,162
371,200
372,218
373,210
374,184
375,204
376,246
377,268
378,242
379,272
380,232
381,228
382,214
383,250
384,232
385,226
386,240
387,236
388,266
389,220
390,248
391,226
392,164
393,142
394,132
395,166
396,154
397,132
398,172
399,124
400,108
401,98
402,102
403,98
404,92
405,74
406,88
407,112
408,116
409,148
410,190
411,214
412,202
413,202
414,246
415,252
416,308
417,348
418,364
419,348
420,340
421,344
422,348
423,332
424,280
425,294
426,282
427,282
428,272
429,290
430,262
431,322
432,300
433,244
434,230
435,244
436,216
437,148
438,104
439,126
440,120
441,88
442,90
443,94
444,112
445,108
446,88
447,86
448,80
449,82
450,72
451,106
452,114
453,98
454,94
455,84
456,62
457,106
458,84
459,102
460,128
461,138
462,132
463,128
464,112
465,106
466,116
467,92
468,122
469,144
470,126
471,102
472,106
473,92
474,164
475,166
476,144
477,174
478,152
479,196
480,188
481,180
482,164
483,144
484,128
485,122
486,128
487,124
488,154
489,142
490,150
491,164
492,196
493,226
494,204
495,214
496,196
497,210
498,222
499,184
500,200
501,167
502,153
503,143
504,117
505,127
506,153
507,175
508,159
509,171
510,187
511,165
512,153
513,167
514,175
515,109
516,109
517,99
518,117
519,119
520,169
521,205
522,261
523,249
524,197
525,241
526,277
527,267
528,271
529,245
530,255
531,255
532,283
